achillea-millefolium|yarrow-tea|image|Aids digestion and appetite.
achillea-millefolium|yarrow-tea|image|Reduces inflammation and pain.
achillea-millefolium|yarrow-tea|image|Supports immune system health.
achillea-millefolium|yarrow-tea|image|Use dried yarrow leaves.
achillea-millefolium|yarrow-tea|image|Steep in hot water.
achillea-millefolium|yarrow-tea|image|Avoid prolonged boiling time.
achillea-millefolium|yarrow-tea|image|Add honey for sweetness.
achillea-millefolium|yarrow-tea|image|Consume in moderation.
achillea-millefolium|yarrow-tea|image|Consider potential allergic reactions.
achillea-millefolium|yarrow-tincture|image|Boosts digestive health.
achillea-millefolium|yarrow-tincture|image|Supports wound healing properties.
achillea-millefolium|yarrow-tincture|image|Aids in fever reduction.
achillea-millefolium|yarrow-tincture|image|Use fresh yarrow leaves.
achillea-millefolium|yarrow-tincture|image|Chop yarrow finely.
achillea-millefolium|yarrow-tincture|image|Fill jar with alcohol.
achillea-millefolium|yarrow-tincture|image|Dilute before consumption.
achillea-millefolium|yarrow-tincture|image|Start with small doses.
achillea-millefolium|yarrow-tincture|image|Consider potential allergic reactions.
achillea-millefolium|yarrow-infused-oil|image|Soothe skin irritations gently.
achillea-millefolium|yarrow-infused-oil|image|Aid in wound healing process.
achillea-millefolium|yarrow-infused-oil|image|Reduce inflammation and pain.
achillea-millefolium|yarrow-infused-oil|image|Use dried yarrow flowers.
achillea-millefolium|yarrow-infused-oil|image|Choose quality carrier oil.
achillea-millefolium|yarrow-infused-oil|image|Infuse with gentle heat method.
achillea-millefolium|yarrow-infused-oil|image|Patch test before use.
achillea-millefolium|yarrow-infused-oil|image|Store in dark glass container.
achillea-millefolium|yarrow-infused-oil|image|Label with infusion date.
achillea-millefolium|yarrow-poultice|image|Soothes skin irritations and rashes.
achillea-millefolium|yarrow-poultice|image|Eases muscle pain and inflammation.
achillea-millefolium|yarrow-poultice|image|Stops minor bleeding effectively.
achillea-millefolium|yarrow-poultice|image|Use fresh yarrow leaves.
achillea-millefolium|yarrow-poultice|image|Grind or crush thoroughly.
