status_id\status_name\preparation_id\preparation_name
2\bad breath\0\teas
2\bad breath\1\decoctions
2\bad breath\2\tinctures
2\bad breath\22\syrups
2\bad breath\23\salves
2\bad breath\10\capsules
2\bad breath\16\tablets
2\bad breath\26\powders
2\bad breath\37\oils
2\bad breath\13\creams
2\bad breath\9\gels
2\bad breath\3\mouthwashes
2\bad breath\5\sprays
2\bad breath\31\elixirs
2\bad breath\14\suppositories
3\dry mouth\0\teas
3\dry mouth\1\decoctions
3\dry mouth\2\tinctures
3\dry mouth\23\salves
3\dry mouth\11\ointments
3\dry mouth\22\syrups
3\dry mouth\10\capsules
3\dry mouth\16\tablets
3\dry mouth\31\elixirs
3\dry mouth\27\liniments
3\dry mouth\25\poultices
3\dry mouth\36\hydrosols
3\dry mouth\8\lozenges
4\mouth ulcers\0\teas
4\mouth ulcers\1\decoctions
4\mouth ulcers\2\tinctures
4\mouth ulcers\23\salves
4\mouth ulcers\11\ointments
4\mouth ulcers\13\creams
4\mouth ulcers\9\gels
4\mouth ulcers\17\balms
4\mouth ulcers\22\syrups
4\mouth ulcers\10\capsules
5\oral thrust\0\teas
5\oral thrust\1\decoctions
5\oral thrust\2\tinctures
5\oral thrust\10\capsules
5\oral thrust\16\tablets
5\oral thrust\8\lozenges
5\oral thrust\22\syrups
5\oral thrust\31\elixirs
5\oral thrust\6\chewable tablets
5\oral thrust\26\powders
5\oral thrust\23\salves
5\oral thrust\11\ointments
5\oral thrust\13\creams
6\periodontal disease\0\teas
6\periodontal disease\1\decoctions
6\periodontal disease\2\tinctures
6\periodontal disease\23\salves
6\periodontal disease\11\ointments
6\periodontal disease\13\creams
6\periodontal disease\25\poultices
6\periodontal disease\9\gels
6\periodontal disease\14\suppositories
6\periodontal disease\10\capsules
6\periodontal disease\16\tablets
6\periodontal disease\21\essential oils
8\throat pain\0\teas
8\throat pain\1\decoctions
8\throat pain\2\tinctures
8\throat pain\10\capsules
8\throat pain\16\tablets
8\throat pain\11\ointments
8\throat pain\23\salves
8\throat pain\7\gargles
8\throat pain\3\mouthwashes
8\throat pain\22\syrups
8\throat pain\31\elixirs
8\throat pain\33\electuaries
9\heartburn\0\teas
9\heartburn\1\decoctions
9\heartburn\2\tinctures
9\heartburn\10\capsules
9\heartburn\6\chewable tablets
9\heartburn\22\syrups
9\heartburn\31\elixirs
9\heartburn\23\salves
9\heartburn\13\creams
9\heartburn\11\ointments
9\heartburn\27\liniments
9\heartburn\25\poultices
9\heartburn\24\compresses
9\heartburn\14\suppositories
10\acid reflux\0\teas
10\acid reflux\1\decoctions
10\acid reflux\2\tinctures
10\acid reflux\10\capsules
10\acid reflux\16\tablets
10\acid reflux\26\powders
10\acid reflux\11\ointments
10\acid reflux\23\salves
10\acid reflux\13\creams
10\acid reflux\9\gels
10\acid reflux\31\elixirs
10\acid reflux\22\syrups
11\gerd\0\teas
11\gerd\1\decoctions
11\gerd\2\tinctures
11\gerd\10\capsules
11\gerd\16\tablets
11\gerd\22\syrups
11\gerd\23\salves
11\gerd\13\creams
11\gerd\11\ointments
11\gerd\25\poultices
11\gerd\24\compresses
11\gerd\18\macerations
13\indigestion\0\teas
13\indigestion\2\tinctures
13\indigestion\1\decoctions
13\indigestion\22\syrups
13\indigestion\23\salves
13\indigestion\10\capsules
13\indigestion\16\tablets
13\indigestion\37\oils
